CountryName,CountryCode,Indicator Name,Indicator Code,GDP1990,GDP1995,GDP2000,GDP2005,GDP2011,GDP2017,A1990,A1995,A2000,A2005,A2011,A2017
Madagascar,MDG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.128905054,1.678592317,4.456858938,4.755845097,1.578429421,3.933316171,22.27356007,22.29494821,21.8724009,23.29406281,23.36285963,22.54228288
Maldives,MDV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,3.845810392,-13.12905343,8.566733531,7.210479788,11.43291943,11.50939536,11.08953254,11.43535931,11.78963462,7.795820799
Middle East & North Africa,MEA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,13.11951914,3.336919119,5.764757369,5.068177287,3.75082637,1.554407756,50.21142429,49.45882575,50.41402806,49.82412762,50.26049879,55.66932622
Mexico,MEX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.175768386,-6.291230821,4.942453715,2.307807066,3.66300793,2.113129135,23.51655782,24.13661024,26.77918216,26.86289992,27.74129679,20.92111579
Marshall Islands,MHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.676246464,8.213231779,1.354077564,2.28478911,-0.75614346,4.056644584,13.06359474,13.3383996,13.04341192,12.92691993,12.93217057,10.24133222
Middle income,MIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.160411933,3.522433341,5.639347864,7.006870145,6.025141024,4.949010827,51.57911664,52.17753894,53.34725568,56.49919163,59.33183323,52.46921707
North Macedonia,MKD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-1.114727694,4.549135783,4.724088642,2.339886045,1.081772738,41.87047581,39.93755917,36.3982167,35.63304687,38.0831195,29.72694451
Mali,MLI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.502395103,0.921022398,-0.060834972,6.534778775,3.21313378,5.305456084,41.52876825,40.57247992,39.80005538,37.84408134,35.14164437,38.52660616
Malta,MLT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.291390958,6.342493183,6.770193911,3.383593722,0.467050564,8.015063134,16.85487078,16.66174535,16.5349456,16.10447805,16.64430398,13.90954337
Myanmar,MMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.816933273,6.948051437,13.74593056,13.56895002,5.591482378,6.404977325,39.80947392,40.76525561,39.36165302,43.3214544,43.61990347,35.55745292
